"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","234/5588","439/16990",3.65365667918041e-19,2.31934125994372e-15,1.91374690901071e-15,"ABCE1/ABT1/ADAR/ATR/BMS1/BRIX1/BYSL/C1QBP/YJU2/CD2BP2/CELF1/CELF2/CELF3/CELF4/CHD7/CLNS1A/CLP1/COIL/CPSF7/CUL4A/CUL4B/DDX1/DDX18/DDX21/DDX23/DDX27/DDX28/DDX47/DDX49/DDX51/DDX54/DDX56/DENR/DHX30/DHX37/DHX9/DICER1/UTP25/DKC1/EBNA1BP2/EIF2A/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF4A3/EIF4B/EIF4H/EIF5/EIF6/EMG1/ERAL1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/SLX9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GCFC2/GEMIN4/GEMIN5/GEMIN7/GLUL/GNL3L/GPATCH4/GRWD1/GTPBP10/HEATR1/HELB/HSP90AA1/HSP90AB1/HTATSF1/IMP3/IMP4/ISG20L2/KRI1/LSG1/LSM2/LSM4/LSM6/LTV1/LUC7L3/MAK16/MDN1/RIOX2/MPHOSPH10/MRPL1/MRPL20/MRPL36/MRPL44/MRPS11/MRPS2/MRPS7/MRTO4/MYBBP1A/NAT10/NCBP1/NGDN/NGRN/NHP2/SNU13/NLE1/NMD3/NOC2L/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP16/NOP2/NSUN5/NUDT16/NUFIP1/NUP88/PA2G4/PDCD11/PELP1/PES1/PIH1D1/POLR2D/POP4/PPAN/PRMT5/PRMT7/PRPF19/PRPF3/PRPF39/PRPF6/PRPF8/PTBP2/PUF60/PWP1/PWP2/RAN/RBMX/REXO4/RIOK3/RPL10A/RPL23A/RPL24/RPL26/RPL26L1/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPS27L/RPSA/RPUSD1/RPUSD4/METTL25B/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP7BP/RRP9/RRS1/RSL1D1/RSL24D1/RUVBL1/RUVBL2/SART3/SBDS/SDAD1/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFSWAP/SHQ1/SIRT7/SNRNP200/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SRFBP1/SRPK1/SRPK2/SRSF6/SRSF9/STRAP/SURF6/SUV39H1/TARBP2/TFB1M/TRMT112/TRMT2B/TSR1/TSR2/URB1/URB2/USP39/USP4/UTP14A/UTP15/UTP18/UTP20/UTP3/BUD23/WDR18/WDR43/WDR46/WDR55/WDR74/WDR77/XPO1/XRCC5/XRN2/YTHDF2/ZNF622",234
"GO:0008380","GO:0008380","RNA splicing","221/5588","423/16990",7.50995211204739e-17,2.38365880036384e-13,1.96681693208146e-13,"ACIN1/AHNAK/AHNAK2/ALYREF/ATXN7L3/RTRAF/C1QBP/C9orf78/CASC3/SGF29/YJU2/CCNL1/CCNL2/CD2BP2/CDK12/CELF1/CELF2/CELF3/CELF4/CIR1/CIRBP/CLK1/CLNS1A/CLP1/COIL/CTNNBL1/CWC15/CWF19L1/DAZAP1/DBR1/DDX1/DDX23/DDX39A/DDX47/DDX5/ESS2/DHX15/DHX16/DHX38/DHX9/EFTUD2/EIF4A3/ENY2/ERN1/ESRP1/FAM172A/FAM50A/FASTK/FMR1/FRG1/FUS/FXR2/GCFC2/GEMIN4/GEMIN5/GEMIN7/GPKOW/GRSF1/HNRNPA3/HNRNPF/HNRNPH2/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HOXB-AS3/HSPA1A/HSPA8/HTATSF1/IK/IVNS1ABP/KAT2A/KHDRBS1/KHDRBS3/KHSRP/LARP7/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LUC7L3/MBNL1/MBNL2/MBNL3/METTL3/MPHOSPH10/NCBP1/NCL/SNU13/NONO/NOVA1/NUP98/PABPC1/PDCD7/PIK3R1/PLRG1/PNN/POLR2A/PPARGC1A/PPIL1/PPP1R8/PPP1R9B/PPP2CA/PPP2R1A/PPP4R2/PQBP1/PRDX6/PRMT1/PRMT5/PRMT7/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PTBP2/PUF60/PUS1/PUS7/QKI/RALY/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM12B/RBM14/RBM15/RBM17/RBM19/RBM22/RBM23/RBM24/RBM28/RBM3/RBM38/RBM39/RBM4/RBM42/RBMX/RNF113A/RNPC3/RNPS1/RPS26/RPUSD4/RRAGC/RRP1B/SART3/SCAF1/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLC38A2/SMU1/SNRNP200/SNRNP25/SNRNP27/SNRNP40/SNRNP48/SNRNP70/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SREK1IP1/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/STRAP/SUPT3H/SUPT6H/SYNCRIP/TADA2B/TADA3/TAF5L/TAF6L/TFIP11/THOC1/THOC2/THOC7/TIA1/TMBIM6/TRPT1/TRRAP/TSEN34/TSEN54/TTF2/TXNL4B/U2AF1/U2AF2/UBL5/USP22/USP39/USP4/WDR77/YBX1/ZBTB7A/ZC3H13/ZMAT2/ZPR1/ZNF326/ZNF638/ZRANB2",221
"GO:0034470","GO:0034470","ncRNA processing","212/5588","403/16990",1.21320913044426e-16,2.56715052002005e-13,2.11822057301425e-13,"AARS1/AARS2/ABT1/ADAR/ADAT2/ALKBH1/ALKBH8/BMP4/BMS1/BRIX1/BYSL/GON7/RTRAF/SPOUT1/TRMO/CHD7/CLP1/INTS11/DDX1/DDX18/DDX21/INTS6L/DDX27/DDX47/DDX49/DDX5/DDX51/DDX54/DDX56/DGCR8/DHX37/DICER1/UTP25/DKC1/DPH3/DTWD2/DUS1L/DUS3L/EBNA1BP2/EGFR/EIF4A3/EIF6/ELP2/ELP4/EMG1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/SLX9/FBL/FBLL1/FCF1/FRG1/FTSJ1/FTSJ3/GEMIN4/GRSF1/GTPBP3/HEATR1/HELB/HOXB-AS3/HSD17B10/ELP1/IMP3/IMP4/INTS10/INTS2/INTS3/INTS4/INTS5/INTS7/KARS1/KRI1/LAGE3/LARP7/LCMT2/LSM6/MAK16/MDN1/METTL1/METTL2B/METTL3/METTL6/MOCS3/MPHOSPH10/MRPL1/MRPL44/MRPS11/MRTO4/MYCN/NAT10/NCBP1/NGDN/NHP2/SNU13/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP2/NSUN2/NSUN5/NSUN6/NUDT16/OSGEPL1/PA2G4/PARN/PDCD11/PELP1/PES1/PIH1D1/POLR3K/POP1/POP4/PPAN/PRKRA/PUS1/PUS7/PWP1/PWP2/REXO4/RIOK3/RIPK1/RNF113A/RPL10A/RPL26/RPL7L1/RPP14/RPP30/RPP40/RPS15/RPS27/RPUSD1/RPUSD4/METTL25B/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP7BP/RRP9/RRS1/RSL1D1/SARS1/SBDS/SHQ1/SIRT7/SMAD1/SMAD2/SRFBP1/SRRT/SRSF3/STAT3/SUV39H1/TARBP1/TARBP2/TFB1M/TGFB1/THADA/THG1L/THUMPD2/TOE1/TRIT1/TRMT1/TRMT11/TRMT112/TRMT2B/TRMT61A/TRMU/TRPT1/TRUB1/TRUB2/TSEN34/TSEN54/TSNAX/TSR1/TSR2/TYW3/TYW5/URB1/URM1/UTP14A/UTP15/UTP18/UTP20/UTP3/BUD23/WDR18/WDR4/WDR43/WDR46/WDR55/WDR6/WDR74/XRN2/YTHDF2/ZC3H12A/ZC3H7A/ZC3H7B/TUT7/ZMPSTE24",212
"GO:0006397","GO:0006397","mRNA processing","228/5588","461/16990",6.48486560679642e-14,9.70328750061411e-11,8.00642698952937e-11,"ACIN1/ADAR/ADARB1/AHCYL1/ALKBH5/ALYREF/APP/AURKAIP1/C1QBP/C9orf78/CASC3/YJU2/CD2BP2/CDK12/CDK9/CELF1/CELF2/CELF3/CELF4/CIR1/CIRBP/CLNS1A/CLP1/COIL/CPEB1/CPEB3/CPSF2/CPSF7/CSTF2/CSTF3/CTNNBL1/CWC15/CWF19L1/DAZAP1/DBR1/DDX1/DDX23/DDX39A/DDX47/DDX5/ESS2/DHX15/DHX16/DHX38/DHX9/DUS3L/EFTUD2/EIF4A3/ERN1/ESRP1/FAM172A/FAM50A/FASTKD5/FMR1/FRG1/FXR2/GCFC2/GEMIN4/GEMIN5/GEMIN7/GPKOW/GRSF1/HNRNPA0/HNRNPA3/HNRNPF/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HOXB-AS3/HSF1/HSPA8/HTATSF1/IK/KHDRBS1/KHDRBS3/KHSRP/KIN/LARP7/LSM2/LSM3/LSM4/LSM5/LSM6/LSM7/LUC7L3/MBNL1/MBNL2/MBNL3/METTL3/NCBP1/NCL/SNU13/NONO/NOVA1/NUP98/PABPC1/PABPN1/PAF1/TENT2/PAPOLA/PAPOLB/PAPOLG/PDE12/PHRF1/PLRG1/PNN/POLR2D/PPARGC1A/PPIL1/PPP1R8/PPP4R2/PQBP1/PRDX6/PRKACA/PRMT5/PRMT7/PRPF19/PRPF3/PRPF38A/PRPF39/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PTBP2/PUF60/PUS1/PUS7/QKI/RALY/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM14/RBM15/RBM17/RBM19/RBM22/RBM23/RBM24/RBM26/RBM28/RBM3/RBM38/RBM39/RBM4/RBM42/RBMX/RNF113A/RNPC3/RNPS1/RPRD1B/RPUSD4/RRP1B/SAFB/SAFB2/SART3/SCAF1/SF1/SF3A1/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SFPQ/SFSWAP/SLBP/SLTM/SMU1/SNRNP200/SNRNP25/SNRNP27/SNRNP40/SNRNP48/SNRNP70/SNRPB/SNRPC/SNRPD1/SNRPD2/SNRPD3/SREK1IP1/SRPK1/SRPK2/SRRT/SRSF3/SRSF6/SRSF7/SRSF9/SSU72/STRAP/SUPT6H/SYMPK/SYNCRIP/TBRG4/TFIP11/THOC1/THOC2/THOC7/TIA1/TRUB1/TRUB2/TSEN34/TSEN54/TTF2/TXNL4B/U2AF1/U2AF2/UBL5/USP39/USP4/WDR33/WDR77/XRN2/YBX1/ZBTB7A/ZC3H13/ZC3H14/ZFP36L1/ZMAT2/ZPR1/ZNF326/ZRANB2",228
"GO:0042254","GO:0042254","ribosome biogenesis","159/5588","296/16990",8.10026230929705e-14,9.70328750061411e-11,8.00642698952937e-11,"ABCE1/ABT1/BMS1/BRIX1/BYSL/C1QBP/CHD7/CUL4A/CUL4B/DDX18/DDX21/DDX27/DDX28/DDX47/DDX49/DDX51/DDX54/DDX56/DHX30/DHX37/UTP25/DKC1/EBNA1BP2/EIF2A/EIF4A3/EIF6/EMG1/ERAL1/ERCC2/ERI2/ERI3/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/SLX9/FBL/FBLL1/FCF1/FRG1/FTSJ3/GEMIN4/GLUL/GNL3L/GPATCH4/GRWD1/GTPBP10/HEATR1/HELB/IMP3/IMP4/ISG20L2/KRI1/LSG1/LSM6/LTV1/MAK16/MDN1/RIOX2/MPHOSPH10/MRPL1/MRPL20/MRPL36/MRPL44/MRPS11/MRPS2/MRPS7/MRTO4/MYBBP1A/NAT10/NGDN/NGRN/NHP2/SNU13/NLE1/NMD3/NOC2L/NOC4L/NOL10/NOL11/NOL6/NOL8/NOL9/NOLC1/NOP10/NOP14/NOP16/NOP2/NSUN5/NUDT16/NUP88/PA2G4/PDCD11/PELP1/PES1/PIH1D1/POP4/PPAN/PWP1/PWP2/RAN/REXO4/RIOK3/RPL10A/RPL23A/RPL24/RPL26/RPL26L1/RPL7L1/RPP30/RPP40/RPS15/RPS27/RPS27L/RPSA/RPUSD1/RPUSD4/METTL25B/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP7BP/RRP9/RRS1/RSL1D1/RSL24D1/SBDS/SDAD1/SHQ1/SIRT7/SRFBP1/SURF6/SUV39H1/TFB1M/TRMT112/TRMT2B/TSR1/TSR2/URB1/URB2/UTP14A/UTP15/UTP18/UTP20/UTP3/BUD23/WDR18/WDR43/WDR46/WDR55/WDR74/XPO1/XRCC5/XRN2/YTHDF2/ZNF622",159
"GO:0016570","GO:0016570","histone modification","221/5588","445/16990",9.17134924443677e-14,9.70328750061411e-11,8.00642698952937e-11,"AASS/ACTB/ACTL6A/AKAP8/ARID4A/ARID4B/ASH1L/ASH2L/ATRX/ATXN7L3/AURKB/AUTS2/BABAM1/BAP1/BAZ1B/BCL6/BCOR/BEND3/BMI1/BOD1/BRCA1/BRCC3/BRD1/BRD4/BRD7/BRMS1/BRMS1L/BRPF1/BRPF3/HPF1/CARM1/SGF29/CDK9/CHD4/CHTOP/CLNS1A/CRTC2/KAT14/CTBP1/CTCF/CTCFL/CTNNB1/CTR9/CUL4B/DDB1/DDB2/DDX21/DMAP1/DOT1L/EHMT1/EHMT2/ELK4/ENY2/EPC2/EZH1/FBL/FBLL1/GATA2/GATAD2A/GATAD2B/GFI1/GLYR1/MACROH2A1/HCFC1/HCFC2/HDAC1/H1-2/H1-3/H1-4/HUWE1/ING2/ING4/ING5/JARID2/JDP2/JMJD1C/KANSL3/KAT2A/KAT5/KDM2A/KDM2B/KDM3A/KDM3B/KDM4A/KDM4B/KDM5C/KDM6B/LIF/MBD2/MBD3/MCM3AP/MCRS1/MEAF6/MECOM/MECP2/MED24/MEN1/METTL23/MIER1/RIOX2/MLLT1/MORF4L2/MSL2/MTA2/MTF2/MTHFR/MYB/MYBBP1A/MYSM1/NAA40/NAA50/NCAPG2/NCOA1/NCOA6/NFYA/NFYB/NFYC/NOC2L/NOS1/NSD1/OGT/OTUB1/PAF1/PARK7/PAXIP1/PBXIP1/PER1/PER2/PHB1/PHC1/PHF19/PHF2/PIH1D1/PPARGC1A/PRDM13/PRDM2/PRDM4/PRKD2/PRMT1/PRMT2/PRMT5/PRMT7/PWP1/PYGO2/RBBP4/RBBP7/RBM14/RCOR2/RNF168/RNF20/RNF40/RTF1/RUVBL1/RUVBL2/RYBP/SART3/SET/SETD1A/SETD1B/SETD2/SETD3/SETD5/SETD6/KMT5A/SF3B1/SF3B3/SFPQ/SIN3A/SIN3B/SIRT2/SIRT6/SIRT7/SKI/SKP1/SMARCA5/SMARCAD1/SMARCB1/SMYD3/SMYD5/SNAI2/SPHK2/SRCAP/SREBF1/SUPT3H/SUPT6H/SUV39H1/KMT5C/SUZ12/TADA2B/TADA3/TAF4/TAF5L/TAF6L/TAF7/TBL1XR1/TET1/TET2/TRIM16/TRMT112/TRRAP/TWIST1/UBE2A/UBE2N/UFL1/USP15/USP22/USP7/VEGFA/WAC/WBP2/WDR5/WDR5B/SKIC8/WDR77/WDR82/NSD2/ZMPSTE24/ZNF274/ZNF335/ZNF451/ZZZ3",221
"GO:0010506","GO:0010506","regulation of autophagy","173/5588","335/16990",6.67753423293955e-13,6.05556961581432e-10,4.99660305911386e-10,"ABL1/ABL2/ACER2/ADRB2/AKT1/ATF6/ATG12/ATG13/ATG14/ATG16L1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C1/ATP6V1C2/ATP6V1G1/ATP6V1G2/ATP6V1H/BAD/BAG3/BCL2L11/BNIP3L/DEPP1/TIGAR/RMC1/C9orf72/CAPN1/CAPNS1/CASP3/CDK16/CDK5/CDK5R1/CHMP4A/CHMP4B/CLEC16A/CLN3/CTSA/CTTN/DAPK1/DCAF12/DDIT3/DEPDC5/DRAM1/DRAM2/EEF1A1/EEF1A2/EHMT2/EIF4G1/EIF4G2/ERN1/EXOC4/EXOC7/EXOC8/FBXL2/FBXO7/FBXW7/FEZ1/FOXK1/FOXK2/FYCO1/FZD5/GATA4/GBA1/CPTP/GPR137/GSK3A/HIF1A/HMGB1/HMOX1/HSPB1/HSPB8/HTT/IFI16/IRGM/ITPR1/KAT5/KDM4A/KEAP1/RUBCN/ELAPOR1/LAMP3/LARP1/LEPR/MAPK3/MAPT/MID2/MLST8/MTDH/MTMR4/MTOR/NOD2/NPRL3/NRBP2/NUPR1/OPTN/PARK7/PHF23/PIK3CB/PIP4K2C/PLEKHF1/PLK2/PLK3/POLDIP2/PRKAA2/PRKACA/RAB39B/RAB3GAP1/RAB8A/RALB/RASIP1/RIPK2/RNF152/RNF31/RNF41/ROCK1/RPTOR/RRAGA/RRAGC/RRAGD/SCFD1/SESN2/SESN3/SIRT2/SLC7A5/SMCR8/SNRNP70/SNX32/SREBF1/STAT3/SUPT5H/SVIP/TAB2/TBC1D14/TBC1D25/TBK1/STING1/TMEM39A/TMEM59/TP53INP1/TP53INP2/TPCN2/TRIB3/TRIM13/TRIM14/TRIM5/TRIM6/TRIM65/TRIM8/TSC2/TSPO/UBQLN4/UCHL1/UFL1/ULK1/USP10/USP13/USP33/VDAC1/VPS13D/VPS26A/VPS26B/VPS35/WAC/WDR41/WDR6/WIPI1/ZC3H12A/ZMPSTE24",173
"GO:0072594","GO:0072594","establishment of protein localization to organelle","208/5588","423/16990",1.67780527276815e-12,1.33133848394153e-09,1.09852092595978e-09,"ABLIM3/ACD/AGK/AIFM1/AKIRIN2/AKT1/AP3B1/AP3D1/AP3M1/ARIH2/GET3/ATG13/ATG14/ATP5IF1/BAG3/BAG6/BAP1/BAX/BCAP31/BCL3/BCS1L/BID/BMP4/BNIP3L/CACNG4/CALM3/SGF29/CCT2/CCT3/CCT5/CCT6A/CCT7/CD68/CDH1/CDKN1A/CHMP4A/CHMP4B/CHP2/CLU/CRY2/CSE1L/DDIT3/DKC1/DMAP1/DNLZ/EDEM1/ELAVL1/FBXO7/FBXW7/FERMT1/FIS1/FZD5/GCC2/GDAP1/GET4/GRPEL1/GSK3A/MACROH2A1/HERPUD1/HGS/HK1/HSP90AA1/HSP90AB1/HSPA1L/HSPA4/HSPA5/HSPA8/HUWE1/HYAL2/ING1/IPO11/IPO13/IPO4/IPO5/IPO7/IPO8/IPO9/KPNA1/KPNA2/KPNA6/KPNB1/LAMP1/LAMP2/LAMP3/LEPROT/LMAN1/LRWD1/MAN1A1/MAPT/MAVS/MDFIC/MED1/MFF/MFN2/MTX1/NAGPA/NEURL1B/NMT1/NOLC1/NUP107/NUP133/NUP188/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXT1/NXT2/PEX10/PEX13/PEX19/PEX2/PEX26/PEX5/PEX6/PEX7/PIH1D1/PIK3R1/PITRM1/PKIG/PMPCA/POLA2/POM121/POM121L2/POT1/PPP3R1/PRICKLE1/PTTG1IP/RAB10/RAB23/RAB3GAP1/RAB7A/RAB8B/RAN/RANBP6/RANGRF/RBM22/RHOU/RNF215/RNF31/RUVBL2/RYR2/SAE1/SAMM50/SCARB2/SCRIB/SEC13/SEC61A1/SEC61A2/SEC63/SGTA/SIRT6/SNF8/SNUPN/SNX16/SORL1/SORT1/SPCS1/SPG11/SREBF1/SRP14/SRP68/SRPRB/STAT3/STK3/STK4/SUFU/SYK/TGFB1/TIMM10/TIMM13/TIMM50/TIMM8A/TIMM9/TNFAIP3/TNPO1/TNPO2/TNPO3/TOMM20/TOMM22/TOMM34/TOMM40/TOMM40L/TOMM6/TRAM1L1/TRIM28/TSC2/TSPAN10/TSPAN17/TSPO/UBE2J2/UBE2L3/UBL4A/UBL5/VPS13D/VPS25/VPS37B/VPS37C/VPS41/VPS4A/WBP2/ZC3H12A/ZFAND2B/ZPR1",208
"GO:0043484","GO:0043484","regulation of RNA splicing","102/5588","174/16990",2.34258709919204e-12,1.65230476729678e-09,1.36335829305024e-09,"AHNAK/AHNAK2/ATXN7L3/C1QBP/SGF29/CCNL1/CCNL2/CDK12/CELF1/CELF2/CELF3/CELF4/CIRBP/CLK1/CLNS1A/DAZAP1/DDX5/ENY2/ERN1/ESRP1/FAM172A/FAM50A/FASTK/FMR1/FUS/FXR2/GRSF1/HNRNPF/HNRNPH2/HNRNPK/HNRNPL/HNRNPU/HOXB-AS3/HSPA1A/HSPA8/KAT2A/KHDRBS1/KHDRBS3/LARP7/MBNL1/MBNL2/MBNL3/NCBP1/NCL/NOVA1/NUP98/PIK3R1/POLR2A/PQBP1/PRDX6/PRMT5/PRPF19/PTBP1/PTBP2/PUF60/QKI/RAVER1/RAVER2/RBFOX2/RBM10/RBM11/RBM12B/RBM15/RBM22/RBM23/RBM24/RBM3/RBM38/RBM39/RBM4/RBM42/RBMX/RNPS1/RPS26/RRP1B/SF1/SF3B3/SF3B4/SFSWAP/SLC38A2/SMU1/SNRNP70/SRPK1/SRPK2/SRSF3/SRSF6/SRSF7/SRSF9/SUPT3H/TADA2B/TADA3/TAF5L/TAF6L/TIA1/TMBIM6/TRRAP/U2AF2/USP22/WDR77/ZBTB7A/ZPR1/ZNF326",102
"GO:0016571","GO:0016571","histone methylation","92/5588","153/16990",3.72244253810922e-12,2.36300652319173e-09,1.94977621785594e-09,"AASS/ARID4A/ARID4B/ASH1L/ASH2L/ATRX/AUTS2/BCOR/BEND3/BOD1/BRCA1/BRD4/CARM1/CHTOP/CLNS1A/CTCF/CTCFL/CTNNB1/CTR9/DOT1L/EHMT1/EHMT2/EZH1/FBL/FBLL1/GFI1/MACROH2A1/HCFC1/HCFC2/H1-2/H1-3/H1-4/JARID2/KANSL3/KDM3A/KDM4A/MCRS1/MECOM/MECP2/MEN1/METTL23/MTF2/MTHFR/MYB/NCOA6/NFYA/NFYB/NFYC/NSD1/OGT/PAF1/PAXIP1/PHF19/PIH1D1/PRDM13/PRDM2/PRDM4/PRMT1/PRMT2/PRMT5/PRMT7/PWP1/PYGO2/RNF20/RTF1/SETD1A/SETD1B/SETD2/SETD3/SETD5/SETD6/KMT5A/SIRT7/SMARCA5/SMARCB1/SMYD3/SMYD5/SUPT6H/SUV39H1/KMT5C/SUZ12/TET1/TET2/TRMT112/WDR5/WDR5B/SKIC8/WDR77/WDR82/NSD2/ZNF274/ZNF335",92
