"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005774","GO:0005774","vacuolar membrane","210/5586","429/17401",1.64191224546345e-13,1.24128565757037e-10,8.26141108770033e-11,"ABCA2/ABCA5/ABCB9/ACP2/AHNAK/ANKFY1/ANXA2/AP1B1/AP1G1/AP1M1/AP1S1/AP1S2/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B1/AP3D1/AP3M1/ARL8B/ATG14/ATG16L1/ATG16L2/ATP11B/ATP6AP1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C1/ATP6V1C2/ATP6V1F/ATP6V1G1/ATP6V1G2/ATP6V1H/ATP8A1/BRI3/BST2/KICS2/CD1D/CD68/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CKAP4/CLCN3/CLCN4/CLCN7/CLEC16A/CLN3/CLN5/CLTA/CMTM6/CPNE1/CPNE3/CTNS/CTSA/CTSD/CYBRD1/DAB2/DDOST/DEPDC5/DNAJC5/DPP4/DRAM1/DRAM2/EEF1A1/EEF1A2/ENPEP/ENTPD4/FNIP2/GAA/GABARAPL1/GBA1/GDAP2/GNA11/GNAQ/GNB1/GNB4/GPR137/GPR137C/GRN/HLA-DOA/HLA-DPA1/HLA-F/HPS6/HSP90AB1/HSPA8/IFITM1/IRGM/ITFG2/ITM2C/ELAPOR1/KLC2/KPTN/KXD1/LAMP1/LAMP2/LAMP3/LAMTOR1/LAMTOR3/LAPTM4A/LDLR/LPCAT1/LRBA/LRP1/LRP2/LRRC8A/MAGT1/MARCHF8/MFSD1/MFSD12/MMD/MREG/MTMR2/MTOR/MYL11/MYO6/NAPG/NCSTN/NDUFC2/NPRL3/NSF/OCLN/OSTM1/PI4K2A/PLD1/PLEKHF1/PSEN2/RAB3D/RAB5C/RAB7A/RNF152/RNF167/RPTOR/RRAGA/SCARB2/SEC13/SEH1L/SIDT2/SLC11A2/SLC12A4/SLC15A4/SLC17A5/SLC22A17/SLC2A6/SLC2A8/SLC30A3/SLC36A1/SLC39A14/SLC39A8/SLC3A2/SLC46A3/SLC7A5/SLCO4C1/SNAP29/SNAPIN/SORT1/SPAG9/SPG11/SPHK2/SPNS1/SPPL2A/STARD3NL/SURF4/SYNGR1/SYT11/TAB2/TEX264/THBD/TM6SF1/TMBIM1/TMEM106B/TMEM150C/STING1/TMEM179B/TMEM199/TMEM30A/TMEM59/TMEM63A/TMEM9/TMEM9B/TPCN2/UBA52/ULK1/VAC14/VAMP8/VLDLR/VMP1/VPS18/VPS33A/VPS33B/VPS35/VPS39/VPS41/VPS4A/VTI1B/WDR41/WDR81/WIPI1/YWHAB/ZFYVE26",210
"GO:0005765","GO:0005765","lysosomal membrane","192/5586","388/17401",5.10904796798177e-13,1.28748008793141e-10,8.56885939893082e-11,"ABCA2/ABCA5/ABCB9/ACP2/AHNAK/ANKFY1/ANXA2/AP1B1/AP1G1/AP1M1/AP1S1/AP1S2/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B1/AP3D1/AP3M1/ARL8B/ATG16L1/ATP11B/ATP6AP1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1C2/ATP6V1F/ATP6V1G1/ATP6V1H/ATP8A1/BRI3/BST2/KICS2/CD1D/CD68/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CKAP4/CLCN3/CLCN4/CLCN7/CLEC16A/CLN3/CLN5/CLTA/CMTM6/CPNE1/CPNE3/CTNS/CTSA/CTSD/CYBRD1/DAB2/DDOST/DEPDC5/DNAJC5/DPP4/DRAM1/DRAM2/EEF1A1/EEF1A2/ENPEP/ENTPD4/FNIP2/GAA/GBA1/GDAP2/GNA11/GNAQ/GNB1/GNB4/GPR137/GPR137C/GRN/HLA-DOA/HLA-DPA1/HLA-F/HPS6/HSP90AB1/HSPA8/IFITM1/ITFG2/ITM2C/ELAPOR1/KLC2/KPTN/KXD1/LAMP1/LAMP2/LAMP3/LAMTOR1/LAMTOR3/LAPTM4A/LDLR/LPCAT1/LRBA/LRP1/LRP2/LRRC8A/MAGT1/MARCHF8/MFSD1/MFSD12/MMD/MREG/MTOR/MYL11/MYO6/NAPG/NCSTN/NDUFC2/NPRL3/NSF/OCLN/OSTM1/PI4K2A/PLD1/PLEKHF1/PSEN2/RAB3D/RAB5C/RAB7A/RNF152/RNF167/RPTOR/RRAGA/SCARB2/SEC13/SEH1L/SIDT2/SLC11A2/SLC12A4/SLC15A4/SLC17A5/SLC2A6/SLC2A8/SLC30A3/SLC36A1/SLC39A14/SLC39A8/SLC3A2/SLC46A3/SLC7A5/SLCO4C1/SNAP29/SNAPIN/SORT1/SPAG9/SPG11/SPHK2/SPNS1/SPPL2A/STARD3NL/SURF4/SYNGR1/SYT11/TAB2/TM6SF1/TMBIM1/TMEM106B/TMEM150C/TMEM179B/TMEM30A/TMEM59/TMEM63A/TMEM9/TMEM9B/TPCN2/UBA52/VAMP8/VLDLR/VPS18/VPS33A/VPS33B/VPS35/VPS39/VPS41/VTI1B/WDR41/WDR81/ZFYVE26",192
"GO:0098852","GO:0098852","lytic vacuole membrane","192/5586","388/17401",5.10904796798177e-13,1.28748008793141e-10,8.56885939893082e-11,"ABCA2/ABCA5/ABCB9/ACP2/AHNAK/ANKFY1/ANXA2/AP1B1/AP1G1/AP1M1/AP1S1/AP1S2/AP2A1/AP2A2/AP2B1/AP2M1/AP2S1/AP3B1/AP3D1/AP3M1/ARL8B/ATG16L1/ATP11B/ATP6AP1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1C2/ATP6V1F/ATP6V1G1/ATP6V1H/ATP8A1/BRI3/BST2/KICS2/CD1D/CD68/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CKAP4/CLCN3/CLCN4/CLCN7/CLEC16A/CLN3/CLN5/CLTA/CMTM6/CPNE1/CPNE3/CTNS/CTSA/CTSD/CYBRD1/DAB2/DDOST/DEPDC5/DNAJC5/DPP4/DRAM1/DRAM2/EEF1A1/EEF1A2/ENPEP/ENTPD4/FNIP2/GAA/GBA1/GDAP2/GNA11/GNAQ/GNB1/GNB4/GPR137/GPR137C/GRN/HLA-DOA/HLA-DPA1/HLA-F/HPS6/HSP90AB1/HSPA8/IFITM1/ITFG2/ITM2C/ELAPOR1/KLC2/KPTN/KXD1/LAMP1/LAMP2/LAMP3/LAMTOR1/LAMTOR3/LAPTM4A/LDLR/LPCAT1/LRBA/LRP1/LRP2/LRRC8A/MAGT1/MARCHF8/MFSD1/MFSD12/MMD/MREG/MTOR/MYL11/MYO6/NAPG/NCSTN/NDUFC2/NPRL3/NSF/OCLN/OSTM1/PI4K2A/PLD1/PLEKHF1/PSEN2/RAB3D/RAB5C/RAB7A/RNF152/RNF167/RPTOR/RRAGA/SCARB2/SEC13/SEH1L/SIDT2/SLC11A2/SLC12A4/SLC15A4/SLC17A5/SLC2A6/SLC2A8/SLC30A3/SLC36A1/SLC39A14/SLC39A8/SLC3A2/SLC46A3/SLC7A5/SLCO4C1/SNAP29/SNAPIN/SORT1/SPAG9/SPG11/SPHK2/SPNS1/SPPL2A/STARD3NL/SURF4/SYNGR1/SYT11/TAB2/TM6SF1/TMBIM1/TMEM106B/TMEM150C/TMEM179B/TMEM30A/TMEM59/TMEM63A/TMEM9/TMEM9B/TPCN2/UBA52/VAMP8/VLDLR/VPS18/VPS33A/VPS33B/VPS35/VPS39/VPS41/VTI1B/WDR41/WDR81/ZFYVE26",192
"GO:0005819","GO:0005819","spindle","186/5586","387/17401",2.99922969320547e-11,5.66854412015833e-09,3.77271524566372e-09,"AGBL5/AKT1/ANAPC5/ANAPC7/ANXA11/APP/ARHGEF2/ARHGEF7/ARL2BP/ARL3/ARL8B/ASPM/ATAT1/AURKB/BCCIP/BEX4/BIRC5/BOD1/BRCC3/CALM1/CALM2/CALM3/CAPG/CAPN6/CBX1/CCDC69/CCNB1/CDC14A/CDC16/CDC20/CDC25B/CDC42/CDC6/CDCA8/CENPV/CEP104/CEP170/CEP44/CEP63/CEP85/CHAMP1/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CIAO1/CKAP2L/CLTA/CRMP1/CSNK1D/CTDP1/CTNNB1/CTTN/CYLD/DCDC2/DCTN1/DCTN4/DIAPH1/DYNC1LI1/DYNLT1/DYNLT3/EMD/EML1/EML2/EPB41/ERCC2/ESPL1/EVI5/FAM83D/GEM/GIT1/HAUS2/HAUS3/HAUS4/HAUS7/HMMR/HNRNPU/HSF1/HSPA2/HSPB1/IK/INCENP/INO80/JTB/KAT2A/KAT5/KATNA1/KATNAL2/KATNB1/KBTBD8/KIF15/KIF18B/KIF20A/KIF22/KIF2C/KIF3A/KIF3B/KIF4A/KIFC1/KLHL21/KNTC1/LATS2/LIMK2/LSM14A/MAD2L2/MAEA/MAP4/MAP9/MAPK1/MAPRE1/MAPRE2/MID1/MYH9/NEDD1/NGRN/NIN/NSUN2/NUBP2/NUDC/NUDCD2/NUMA1/NUP85/NUSAP1/ODF2/PHLPP2/PKP4/PLK1/PLK2/PLK3/POC1A/POC1B/POLDIP2/PPP2CA/PRPF19/PSRC1/PTP4A1/RAE1/RALBP1/RANGAP1/RCC2/RGS14/SAC3D1/SBDS/SHCBP1/SIRT2/SKA1/SKA3/SMC1A/SMC3/SNCG/SPAG5/SPAG8/SPAST/SPECC1L/SPICE1/SPIN1/STAG1/TACC3/TADA2A/TADA3/TAF1D/TBL1XR1/DYNLT2B/TMEM201/TMEM9/TOPBP1/TTL/TTLL12/TUBB/TUBB2B/TUBB3/TUBB4B/TUBGCP5/UBXN2B/UNC119/UXT/VPS4A/WDR5/WDR62/WDR73/WRAP73/YPEL5/ZW10/ZWILCH",186
"GO:0030684","GO:0030684","preribosome","48/5586","69/17401",1.87139150186927e-10,2.82954395082634e-08,1.88321081661792e-08,"BMS1/BYSL/EBNA1BP2/EIF6/EMG1/SLX9/FBL/FBLL1/FCF1/FTSJ3/HEATR1/IMP3/IMP4/KRI1/LTV1/MAK16/MDN1/MPHOSPH10/MRTO4/NGDN/NOC2L/NOC4L/NOL10/NOL6/NOP14/PDCD11/PES1/PPAN/PWP2/RIOK3/RRP1/RRP15/RRP1B/RRP36/RRP7A/RRP9/RRS1/RSL1D1/SRFBP1/TSR1/UTP14A/UTP18/UTP20/UTP3/WDR46/WDR74/XRCC5/ZNF622",48
"GO:0098687","GO:0098687","chromosomal region","169/5586","356/17401",7.8216985312786e-10,9.85534014941103e-08,6.55924894377398e-08,"ACD/ACTB/ACTL6A/ALYREF/ANAPC16/APEX1/ARID2/ATR/ATRX/AURKB/BAZ1B/BIRC5/BOD1/BRD7/CBX1/CBX5/CCNB1/CDCA5/CDCA8/CEBPB/CENPB/CENPI/CENPK/CENPM/CENPN/CENPQ/CENPT/CENPV/CENPW/CFDP1/CHAMP1/CHD4/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CHRAC1/CTCF/DAXX/DCTN1/DCTN4/DCTN5/DDB1/DNA2/DYNC1LI1/DYNLT3/ERCC6L/EZH1/FBXO28/FBXW11/FEN1/FMR1/GATAD2B/H2AX/MACROH2A1/HELLS/H2BC11/H4C4/H4C5/HJURP/HMBOX1/HNRNPU/HSF1/INCENP/KAT5/KDM4A/KIF22/KIF2C/KNTC1/LIG4/LRWD1/MCM2/MCM3/MCM4/MCM6/MCM7/MEAF6/MEN1/MIS12/MSH2/MTA2/MTBP/NAT10/NBN/NGDN/NHP2/NSL1/NUDCD2/NUP107/NUP133/NUP85/NUP98/ORC1/ORC3/PARP1/PBRM1/PDS5A/PHF2/PHF6/PIF1/PLK1/PMF1/POLD1/POLR2B/POT1/PPP1CA/PPP2CA/PPP2R1A/PSEN2/PURA/RAD50/RAD51AP1/RAD51D/RANGAP1/RASSF2/RBBP4/RBBP7/RCC2/RPA1/RPA2/RPA4/SEC13/SEH1L/SIN3A/SIRT2/SIRT6/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SMC1A/SMC3/SMG6/SPAG5/SPC24/SPC25/STAG1/SUMO3/SUV39H1/SYCP2L/TELO2/TEP1/TERF2IP/TFIP11/THOC1/THOC2/THOC7/TOP2A/TP53BP1/TRAPPC12/UPF1/WDR82/WRNIP1/XPO1/XRCC3/XRCC5/XRCC6/ZBTB10/ZNF330/ZNF618/ZW10/ZWILCH/ZWINT",169
"GO:0035770","GO:0035770","ribonucleoprotein granule","127/5586","252/17401",1.01991330722959e-09,1.10150637180796e-07,7.33110617828185e-08,"ACTB/APOBEC3F/APOBEC3G/ARC/BMAL1/ATXN2/BTBD1/BTBD2/C9orf72/CAPRIN1/CARHSP1/CASC3/CDC42/CDK9/CELF1/CHTOP/CIRBP/CNOT7/CPEB1/CSDE1/DCP1A/DCP2/DDX1/DDX19A/DDX28/DDX6/DHX30/DHX9/EDC3/EDC4/EIF3B/EIF4G1/ELAVL1/FASTK/FASTKD5/FMR1/FXR2/G3BP1/GHR/GRSF1/HNRNPK/HNRNPL/HNRNPU/HOXD10/HSF1/IGF2BP1/IGF2BP2/INA/IQGAP1/KHNYN/KPNB1/LARP1/LARP1B/LARP4B/LIG4/LIMD1/LSM14A/LSM2/LSM3/LSM4/LSM6/MAPT/MBNL1/MEX3B/MOV10/NCL/NFKBIZ/NSUN2/NUFIP2/NXF1/NYNRIN/PABPC1/PABPC1L/PABPC3/PABPC4/PABPC4L/PATL1/PMS2/POLDIP3/POLI/POLR2D/POLR2G/PQBP1/PRKAA2/PSMA2/PSMA4/PSMC2/PSMC3/RAC1/RBM4/RBPMS/RC3H1/RC3H2/ROCK1/RPTOR/RPUSD4/SAMD4A/SAMD4B/SARNP/SHB/STAU1/SYMPK/SYNE1/TAF5L/TBRG4/TIA1/TNRC6B/TOP1/TRIM25/TRIM5/TRUB2/TUBA1A/TUBB/UBAP2/UBAP2L/UPF1/VCP/WTIP/XRN1/YBX1/YTHDC2/YTHDF2/YTHDF3/ZC3H12A/ZFAND1/ZFP36/ZFP36L1",127
"GO:0005667","GO:0005667","transcription regulator complex","219/5586","489/17401",1.90016951648138e-09,1.7956601930749e-07,1.19510661694487e-07,"AATF/ABT1/ADNP/AKIRIN2/ALX4/ANXA2/APEX1/ARID4A/ARNT/ARNT2/BMAL1/BMAL2/ASCC1/ASCC2/ASCL1/ATF3/ATF6/ATF7IP/ATXN7L3/BACH1/BACH2/BARX2/BCL9/BDP1/BEX1/BRF1/CBFB/CBX5/CCND1/CCNH/POLR1G/CDK4/CDX2/CEBPB/CEBPD/CEBPG/CHD4/CREB3/CREBZF/CREG1/CREM/CSNK2A1/CTBP1/CTNNB1/CTNNBIP1/DBP/DDIT3/DRAP1/E2F1/E2F2/E2F4/E2F5/ENY2/EPAS1/ERCC2/ERCC3/EYA3/FOS/FOSL1/GATA2/GATA4/GATAD2A/GATAD2B/GEMIN5/GFI1/GTF2A1/GTF2F1/GTF2H1/GTF3C1/GTF3C2/GTF3C5/GTF3C6/H1-0/HAND2/HDAC1/HDGF/HES6/HIF1A/HLF/HLTF/HMGA1/HMGB1/HOXA10/HOXA11/HOXA9/HOXB13/HYAL2/ING2/INSM1/INSM2/IVNS1ABP/JAZF1/JDP2/JUN/JUNB/KAT2A/KAT5/KLF4/KLF5/LIMD1/LIN52/LMO2/LMO4/MAFG/MAX/MBD2/MBD3/MDM2/MDM4/MED1/MED16/MED17/MED19/MED20/MED22/MED24/MED25/MED29/MED30/MEN1/MIER1/MNAT1/MSX1/MSX2/MTA2/MXD1/MXD3/MXI1/MYB/MYC/N4BP2L2/NCOA1/NCOA2/NCOA6/NFAT5/NFATC4/NFE2L3/NFYA/NFYB/NFYC/NHLH2/NONO/NR4A2/PARP1/PBX3/PBXIP1/PHF12/PITX1/PKNOX1/PMF1/POU3F2/POU4F1/POU4F2/PPARG/PYGO2/RARG/RBBP4/RBBP7/RBBP8/RBM14/RBPJ/RCOR2/RELA/RELB/RLIM/RUNX1/RUNX2/RXRA/RXRB/SFPQ/SIN3A/SIX1/SIX4/SKI/SMAD1/SMAD2/SMAD5/SMAD6/SNAPC1/SNAPC3/SNAPC4/SNF8/SOX4/SOX8/SOX9/SP1/SP3/STAT3/SUPT3H/TADA3/TAF13/TAF1D/TAF4/TAF4B/TAF5L/TAF6L/TAF7/TAF8/TAF9B/TBL1XR1/TCF3/TCF4/TCF7/TEAD1/TFAP4/TFDP1/TLE1/TLE2/TLE3/TLE6/TRIM28/TRRAP/USP22/WTIP/XBP1/XRCC6/YAP1/ZFPM1/ZNF224",219
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","85/5586","154/17401",2.45581143093974e-09,1.90847122845324e-07,1.27018831411953e-07,"ACTB/ACTL6A/ANAPC16/ARID2/ATRX/AURKB/BIRC5/BOD1/BRD7/CBX5/CCNB1/CEBPB/CENPB/CENPI/CENPK/CENPM/CENPN/CENPQ/CENPT/CENPV/CENPW/CFDP1/CHAMP1/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/DCTN1/DCTN4/DCTN5/DYNC1LI1/DYNLT3/ERCC6L/FBXO28/FBXW11/HJURP/HNRNPU/HSF1/INCENP/KAT5/KIF22/KIF2C/KNTC1/LRWD1/MEAF6/MIS12/MTBP/NSL1/NUDCD2/NUP107/NUP133/NUP85/NUP98/PBRM1/PHF2/PHF6/PLK1/PMF1/PSEN2/RANGAP1/RASSF2/SEC13/SEH1L/SIN3A/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SMC1A/SPAG5/SPC24/SPC25/SUMO3/SYCP2L/TP53BP1/TRAPPC12/XPO1/ZW10/ZWILCH/ZWINT",85
"GO:0005635","GO:0005635","nuclear envelope","202/5586","446/17401",2.64994861093329e-09,1.90847122845324e-07,1.27018831411953e-07,"ABCF1/ABL1/AGPAT3/AKIRIN1/ALG14/ALOX5/ANXA11/ANXA4/APEH/APP/AQP1/ARL6IP6/ATF6/ATP11B/BANF1/BAX/BCHE/BCL2L1/BNIP2/BNIP3L/BRIP1/C12orf43/C9orf72/CASC3/CBX5/CC2D1B/CCAR1/CCND1/CCND2/CCNI/CDK4/CENPV/CEPT1/CETN2/CETN3/CHMP1A/CHMP1B/CHMP4A/CHMP4B/CHMP6/CHMP7/CLMN/CMTM3/CPNE1/CSE1L/CTDNEP1/CYBB/DCTN1/DCTN5/DHRS2/DHX37/DMPK/DNAJB12/DNAJB14/DNAJC1/DNAJC2/DPY19L2/DST/DTL/EDNRB/EGFR/EI24/EIF5A/EIF5AL1/EMD/ENO1/ENY2/EPHA3/ERN1/FAM169A/FBXW11/FZR1/GCH1/GCHFR/GHDC/GLE1/GNAQ/GPX4/HOXA7/IFFO1/INSR/INTS2/INTS5/IPO11/IPO5/IPO7/IPO8/IPO9/ITGB4/ITPR1/ITPR3/ITSN1/KLHDC2/KPNA1/KPNB1/LBR/LMNB1/LMNB2/LMO7/LPIN1/LRRC59/MAPK3/MATR3/MCM3AP/MRPS23/MTDH/MTMR6/MTOR/MVP/MYO1C/MYO6/MYOF/NAPEPLD/NOC4L/NRXN1/NUCB2/NUDT1/NUP107/NUP133/NUP188/NUP205/NUP210/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXF1/NXT1/NXT2/P2RX2/PARP1/PGRMC2/PHF11/PLA2G4A/PLRG1/POLA1/POM121/POM121C/POM121L2/POMZP3/PRICKLE1/PSEN2/QRICH2/RAE1/RAN/RANBP1/RANBP3/RANBP3L/RANGAP1/RAP1GAP2/RBM15/RBM15B/RCC1/RETSAT/SCAI/SCRN1/SDCBP/SEC13/SEH1L/SENP1/SENP2/SEPHS1/SH3BGRL2/SHISA5/SLC22A18/SMAD1/SMOX/SNUPN/SORL1/SORT1/SPAST/SPIN1/SREBF1/SUN2/SURF4/SYNE1/SYNE2/TMC6/TMEM120A/TMEM201/TMEM33/TMEM38A/TMEM97/TMPO/TNPO3/TNRC18/TUBB/TXLNG/TYRO3/UBE2I/UTP18/VPS4A/XPO1/XPO4/XPO7/ZMPSTE24/ZNF224/ZNF383",202
